HwTrapBody(id=null, newOrClear=1, trapId=389214833, alarmCode=21807, alarmName=OML Fault, siteId=FYB023, siteName=MZRH02-FYB023_SHEREEN_TAGAB_KOHEE_SAYAD_Etisalat_(FRB082)_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=FYB023, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:06:16, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214841, alarmCode=65033, alarmName=Mains Failure, siteId=KBL092, siteName=KBLH12-KBL092_TXN_PUL_E_SURKH_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL092, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:06:25, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214830, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL092, siteName=KBL092_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU092, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:06:18, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=389214830, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL092, siteName=KBL092_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU092, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:06:18, alarmClearedTime=2024-10-28 08:06:33, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214872, alarmCode=65033, alarmName=Mains Failure, siteId=KBL404, siteName=KBLH12-KBL404_SAR_ASYAB_QZ_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL404, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:06:42, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214877, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL378, siteName=KBLU378_TAP_E_KHUJA_BOGHRA_QZ_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU378, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:04:40, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=389214713, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=GZN032, siteName=GZNH01-GZN032_Waghaz_Distract, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU032, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:05:08, alarmClearedTime=2024-10-28 08:06:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=389214841, alarmCode=65033, alarmName=Mains Failure, siteId=KBL092, siteName=KBLH12-KBL092_TXN_PUL_E_SURKH_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL092, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:06:25, alarmClearedTime=2024-10-28 08:06:58, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=389214768, alarmCode=65033, alarmName=Mains Failure, siteId=KBL201, siteName=KBLH07-KBL201_TXN_Salim_Khil_Hotkhil_CPX_P2, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL201, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:05:38, alarmClearedTime=2024-10-28 08:07:02, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214929, alarmCode=22214, alarmName=NodeB Unavailable, siteId=FYB023, siteName=FYBU023_SHEREEN_TAGAB_KOHEE_SAYAD_Etisalat_(FRB082)_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=FYBU023, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:05:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214939, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=GZN032, siteName=GZNH01-GZN032_Waghaz_Distract, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU032, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:07:16, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
