HwTrapBody(id=null, newOrClear=2, trapId=406183502, alarmCode=65080, alarmName=3G Mains Failure, siteId=MZR001, siteName=MZRH03-MZR001_MAZAR_MOC_CPX_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU001, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:10:43, alarmClearedTime=2025-02-24 10:11:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406181392, alarmCode=65080, alarmName=Mains Failure, siteId=KBL515, siteName=KBL515_UL_MTN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU515, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:49:17, alarmClearedTime=2025-02-24 10:14:24, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406185563, alarmCode=65080, alarmName=Mains Failure, siteId=JLD010, siteName=JLDU010_KAMAL_AND_HONOR_MTN(NGR007)_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=JLDU010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:30:08, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406185563, alarmCode=65080, alarmName=Mains Failure, siteId=JLD010, siteName=JLDU010_KAMAL_AND_HONOR_MTN(NGR007)_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=JLDU010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:30:08, alarmClearedTime=2025-02-24 10:32:26, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406187767, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:48:25, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406187767, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:48:25, alarmClearedTime=2025-02-24 10:48:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407204588, alarmCode=65080, alarmName=Mains Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 07:24:26, alarmClearedTime=2025-03-03 07:49:24, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407216739, alarmCode=65080, alarmName=Mains Failure, siteId=JLD010, siteName=JLDU010_KAMAL_AND_HONOR_MTN(NGR007)_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=JLDU010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:31:35, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407216739, alarmCode=65080, alarmName=Mains Failure, siteId=JLD010, siteName=JLDU010_KAMAL_AND_HONOR_MTN(NGR007)_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=JLDU010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:31:35, alarmClearedTime=2025-03-03 09:32:23, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407216882, alarmCode=65080, alarmName=Mains Failure, siteId=JLD010, siteName=JLDU010_KAMAL_AND_HONOR_MTN(NGR007)_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=JLDU010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:32:57, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
