ZteTrapBody(id=6966461715260263731, newOrClear=1, trapId=1718086425610, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:4:24.0,+4:30, alarmClearedTime=null, alarmNodeBId=117, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=4345898569958805993, newOrClear=1, trapId=1718086425634, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:5:11.0,+4:30, alarmClearedTime=null, alarmNodeBId=128, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=5050721145130643611, newOrClear=1, trapId=1718086425647, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:5:46.0,+4:30, alarmClearedTime=null, alarmNodeBId=104, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=2942365792518206670, newOrClear=1, trapId=1718086425661, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:6:9.0,+4:30, alarmClearedTime=null, alarmNodeBId=170, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=7696478562133929846, newOrClear=1, trapId=1718086425667, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:6:15.0,+4:30, alarmClearedTime=null, alarmNodeBId=190, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=500050492730278271, newOrClear=1, trapId=1718086425698, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:7:1.0,+4:30, alarmClearedTime=null, alarmNodeBId=159, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=4633762175749622773, newOrClear=1, trapId=1718086425699, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:7:1.0,+4:30, alarmClearedTime=null, alarmNodeBId=119, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=5743526865917756549, newOrClear=1, trapId=1718086425708, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:7:11.0,+4:30, alarmClearedTime=null, alarmNodeBId=94, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425610, alarmCode=198083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,16:7:11.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425634, alarmCode=198083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,16:8:5.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
