HwTrapBody(id=null, newOrClear=2, trapId=406080203, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 14:32:50, alarmClearedTime=2025-02-23 14:32:59, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406083124, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 15:09:44, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406083124, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 15:09:44, alarmClearedTime=2025-02-23 15:09:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406085255, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 15:36:44, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406085255, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 15:36:44, alarmClearedTime=2025-02-23 15:36:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406089159, alarmCode=65070, alarmName=BB Mains Failure, siteId=MZR028, siteName=MZRH02-MZR028_BB_BTS_ARYANA_KARTA_CPX_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU028, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 16:12:26, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406089159, alarmCode=65070, alarmName=BB Mains Failure, siteId=MZR028, siteName=MZRH02-MZR028_BB_BTS_ARYANA_KARTA_CPX_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU028, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 16:12:26, alarmClearedTime=2025-02-23 16:13:05, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406089406, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 16:15:23, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406089406, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 16:15:23, alarmClearedTime=2025-02-23 16:15:32, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406091784, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 16:45:23, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406091784, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 16:45:23, alarmClearedTime=2025-02-23 16:45:32, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406157749, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL133, siteName=KBL039_MBSC-KBL133_BB_QALAI_AHMMAD_KHAN_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU133, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 05:22:14, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406157749, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL133, siteName=KBL039_MBSC-KBL133_BB_QALAI_AHMMAD_KHAN_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU133, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 05:22:14, alarmClearedTime=2025-02-24 05:22:23, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406162371, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL069, siteName=KBL039_MBSC-KBL069_BB_LATABAND_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU069, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:11:34, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406162371, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL069, siteName=KBL039_MBSC-KBL069_BB_LATABAND_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU069, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:11:34, alarmClearedTime=2025-02-24 06:12:22, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406162639, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL069, siteName=KBL039_MBSC-KBL069_BB_LATABAND_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU069, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:13:37, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406162639, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL069, siteName=KBL039_MBSC-KBL069_BB_LATABAND_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU069, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:13:37, alarmClearedTime=2025-02-24 06:18:25, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406165210, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:41:48, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406165210, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:41:48, alarmClearedTime=2025-02-24 06:41:57, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406173721, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL133, siteName=KBL039_MBSC-KBL133_BB_QALAI_AHMMAD_KHAN_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU133, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 08:15:26, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406173721, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL133, siteName=KBL039_MBSC-KBL133_BB_QALAI_AHMMAD_KHAN_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU133, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 08:15:26, alarmClearedTime=2025-02-24 08:15:35, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406174318, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 08:23:09, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406174318, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 08:23:09, alarmClearedTime=2025-02-24 08:23:18, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406179895, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL133, siteName=KBL039_MBSC-KBL133_BB_QALAI_AHMMAD_KHAN_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU133, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:36:47, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406179895, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL133, siteName=KBL039_MBSC-KBL133_BB_QALAI_AHMMAD_KHAN_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU133, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:36:47, alarmClearedTime=2025-02-24 09:36:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406186156, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:34:09, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406186156, alarmCode=65070, alarmName=BB Mains Failure, siteId=GZN003, siteName=GZNH01-GZN003_BB_PLAN_SAY_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:34:09, alarmClearedTime=2025-02-24 10:34:18, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406187492, alarmCode=65070, alarmName=BB Mains Failure, siteId=KBL133, siteName=KBL039_MBSC-KBL133_BB_QALAI_AHMMAD_KHAN_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU133, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:45:20, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
