HwTrapBody(id=null, newOrClear=1, trapId=407199774, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL340, siteName=KBLH12-KBL340_TXN_SHAHRAK_E_HAJI_NABI_JTTS_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU340, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:42:53, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407199386, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL276, siteName=KBL276_UL_PRESIDENT_OFFICE_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU276, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:41:29, alarmClearedTime=2025-03-03 06:42:36, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407200170, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL177, siteName=KBLH12-KBL177_TXN_DOGH_ABAD_JTTS_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:45:36, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407200199, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL177, siteName=KBL177_UL_TXN_JTTS, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:46:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407200259, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL177, siteName=KBLH12-KBL177_TXN_DOGH_ABAD_JTTS_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:46:36, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407200485, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL200, siteName=KBLH11-KBL200_SHARAK_E_GLOBAL_Etisalat(KBL268)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU200, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:48:45, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407200170, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL177, siteName=KBLH12-KBL177_TXN_DOGH_ABAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:45:36, alarmClearedTime=2025-03-03 06:46:36, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407200527, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL222, siteName=KBLH11-KBL222_DOBAI_MOBEL_BARAKI_JTTS_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU222, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:49:23, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407200608, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL005, siteName=KBLH11-KBL005_SHAHRAK_E_POLICE_AWCC(KAB205)_P2, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU005, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:49:50, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407200485, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL200, siteName=KBLH11-KBL200_SHARAK_E_GLOBAL_Etisalat(KBL268)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU200, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:48:45, alarmClearedTime=2025-03-03 06:49:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407200527, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL222, siteName=KBLH11-KBL222_DOBAI_MOBEL_BARAKI_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU222, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:49:23, alarmClearedTime=2025-03-03 06:49:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407198227, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=BGL003, siteName=BGLH01-BGL003_QUMANDANI_Etisalat(BGL052)_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=BGLU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:31:48, alarmClearedTime=2025-03-03 06:50:27, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407201038, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL287, siteName=KBL287_UL_PT, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU287, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:53:45, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407197563, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL305, siteName=KBL039_MBSC-KBL305_Tapa_rastokhil_Etisalat(KBL003)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU305, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:25:33, alarmClearedTime=2025-03-03 06:51:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407201178, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL004, siteName=KBL004_UL_CPX_TXN, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:55:03, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407201193, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL305, siteName=KBL039_MBSC-KBL305_Tapa_rastokhil_Etisalat(KBL003)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU305, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:55:12, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407199612, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL295, siteName=KBL295_UL_JTTS, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU295, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:42:19, alarmClearedTime=2025-03-03 06:52:55, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407195169, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KDZ020, siteName=KDZH01-KDZ020_OWAR_SABZ_QALA_ZAL_Etisalat_(QDZ030)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KDZU020, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 06:00:56, alarmClearedTime=2025-03-03 06:53:22, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
