ZteTrapBody(id=2054771334443313357, newOrClear=1, trapId=1718086417468, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,22:51:8.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417468, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,22:51:22.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5273111770475749380, newOrClear=1, trapId=1718086417469, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,22:52:2.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417469, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,22:53:24.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6845164238388085758, newOrClear=1, trapId=1718086417855, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,4:45:27.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417855, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,4:46:21.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7450172341433031979, newOrClear=1, trapId=1718086417856, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,4:47:1.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417856, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,4:48:22.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8186687666124603116, newOrClear=1, trapId=1718086417958, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=GZN021, siteName=GZNP021_Hotqul_CPX_P1(5021), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN021, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,5:57:21.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417958, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,6:1:6.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=744291708248554703, newOrClear=1, trapId=1718086417962, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=GZN039, siteName=GZNP039_QAMBAR-E-SNANGMASHA_CPX_P3(5039), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN039, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,6:7:26.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417962, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,6:15:19.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4144068103508232208, newOrClear=1, trapId=1718086419573, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,12:54:7.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086419573, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,12:54:37.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8540816652703056308, newOrClear=1, trapId=1718086419574, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,12:55:0.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086419574, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,12:57:1.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8258096507206955834, newOrClear=1, trapId=1718086419579, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,12:57:37.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086419579, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,13:3:46.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=419239725292913542, newOrClear=1, trapId=1718086419629, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,13:6:47.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086419629, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,13:29:42.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2084900670870808210, newOrClear=1, trapId=1718086419706, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,13:34:43.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086419706, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,13:43:14.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7812167041012786618, newOrClear=1, trapId=1718086419726, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,13:44:30.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086419726, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,13:48:7.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3974343529012540232, newOrClear=1, trapId=1718086419741, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,13:51:49.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086419741, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,14:5:34.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
