ZteTrapBody(id=774325344864803182, newOrClear=1, trapId=1718086415859, alarmCode=198092295, alarmName=Device power down, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST030, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,14:55:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415859, alarmCode=198092295, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:13:35.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415840, alarmCode=198092295, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:13:35.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415841, alarmCode=198092295, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:13:35.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6735780312060714107, newOrClear=1, trapId=1718086415986, alarmCode=198092295, alarmName=Device power down, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST030, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,15:19:9.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2302193939059665324, newOrClear=1, trapId=1718086415985, alarmCode=198092295, alarmName=Device power down, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST030, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,15:19:9.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415985, alarmCode=198092295, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:23:22.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415986, alarmCode=198092295, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:23:29.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2739965374800863116, newOrClear=1, trapId=1718086416060, alarmCode=198092295, alarmName=Device power down, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST030, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,15:38:28.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6925082137448327217, newOrClear=1, trapId=1718086416059, alarmCode=198092295, alarmName=Device power down, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST030, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,15:38:27.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416059, alarmCode=198092295, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:42:42.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
