ZteTrapBody(id=3528686740542160226, newOrClear=1, trapId=1718086414994, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT142, siteName=HRTP142_Jaghartan_P3_Opex_QZ(2142), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT142_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,11:59:46.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414994, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:0:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2463023643498940400, newOrClear=1, trapId=1718086415088, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KST030_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:5:52.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415088, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:6:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8422195811269514466, newOrClear=1, trapId=1718086415096, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=KDR009, siteName=KDRC009_BTS_Transmission_Ansari_Market_P2(9), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KDR009_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:7:28.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5572538807428764137, newOrClear=1, trapId=1718086415134, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=GZN018, siteName=GZNP018_GARDAN_DAWD_CPX_P2(5018), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN018_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:13:44.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415096, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:15:24.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5636298907978998668, newOrClear=1, trapId=1718086415161, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HLM026, siteName=HLMC026_HUB_Mokhtar_P1(5626), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HLM026_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:21:58.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6882889147171361434, newOrClear=1, trapId=1718086415199, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT108, siteName=HRTP108_Khwaja_Nuh_Shindand_P3(2108), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT108_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:40:30.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415199, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:40:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8958086204725838294, newOrClear=1, trapId=1718086415330, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT134, siteName=HRTP134_Ferk_P3_MTN_HRT061(2134), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT134_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:52:6.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
