ZteTrapBody(id=8092278642341604557, newOrClear=1, trapId=1718116879431, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=HRT106, siteName=HRTC106_Sarpole_Gazerga_P3_Etisalat_HRT072(106), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT106, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,16:3:8.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879412, alarmCode=198083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:19:29.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6336581865669554001, newOrClear=1, trapId=1718116879439, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=KDR040, siteName=KDRC040_HUB_Kochai_Mulla_Alam_P1(40), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:19:36.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879439, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:19:46.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1258921102079587228, newOrClear=1, trapId=1718116879446, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=KDR040, siteName=KDRC040_HUB_Kochai_Mulla_Alam_P1(40), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:20:16.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879446, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:20:26.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4920048518846624945, newOrClear=1, trapId=1718116879450, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=KST004, siteName=KSTP004_BB_Kotal_e_Sete_Kandaw_P3(3404), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:22:22.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879450, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:22:55.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879431, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,16:8:33.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2709419878538532068, newOrClear=1, trapId=1718116879461, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=KDR023, siteName=KDRC023_BTS_Nahia_e_2_P2(23), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR023, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:24:30.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879461, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:24:39.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2804210479255692978, newOrClear=1, trapId=1718116879464, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=KDR015, siteName=KDRC015_BTS_Haqeqat_Market_Khwaja_Baba_P3(15), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR015, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:28:38.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879464, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:28:53.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6561022521834622445, newOrClear=1, trapId=1718116879470, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=HRT125, siteName=HRTC125_Moqabl-e-Bagh-e-Melat_OPEX_PT(2125), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT125, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:31:14.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6466073467509479297, newOrClear=1, trapId=1718116879473, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=KDR010, siteName=KDRC010_BTS_Haji_Ghani_Market_Etisalat_(QDH006)_P2(10), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:32:48.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1398751134043130310, newOrClear=1, trapId=1718116879475, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=HRT163, siteName=HRTC163_Jada_Behzad_P2_OPEX_JTTS(2163), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT163, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:32:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879473, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:33:6.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
