HwTrapBody(id=null, newOrClear=2, trapId=406064676, alarmCode=65033, alarmName=Mains Failure, siteId=KBL508, siteName=KBLH12-KBL508_SHAHRAK_E_OMID_SABZ_PHASE#4_ AWCC KBL437, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL508, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:54:53, alarmClearedTime=2025-02-23 11:55:36, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064882, alarmCode=65033, alarmName=Mains Failure, siteId=KBL492, siteName=KBL039_MBSC-KBL492_QALA Kajal Bini Hesar_Etisalat(KAB111)_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:57:38, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064882, alarmCode=65033, alarmName=Mains Failure, siteId=KBL492, siteName=KBL039_MBSC-KBL492_QALA Kajal Bini Hesar_Etisalat(KAB111)_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:57:38, alarmClearedTime=2025-02-23 12:00:05, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065226, alarmCode=65033, alarmName=Mains Failure, siteId=KBL013, siteName=KBLH12-KBL013_QALA_E_ALIF_VDTC_CPX_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:25, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065228, alarmCode=65033, alarmName=Mains Failure, siteId=KBL335, siteName=KBLH12-KBL335_QASR_E_DARULAMAN_MOQABEL_CANDIDATE_No-1_MTN(KBL004)_P2, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL335, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:26, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065226, alarmCode=65033, alarmName=Mains Failure, siteId=KBL013, siteName=KBLH12-KBL013_QALA_E_ALIF_VDTC_CPX_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:25, alarmClearedTime=2025-02-23 12:00:43, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065228, alarmCode=65033, alarmName=Mains Failure, siteId=KBL335, siteName=KBLH12-KBL335_QASR_E_DARULAMAN_MOQABEL_CANDIDATE_No-1_MTN(KBL004)_P2, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL335, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:26, alarmClearedTime=2025-02-23 12:01:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=405958435, alarmCode=65033, alarmName=Mains Failure, siteId=BMN013, siteName=KBLH08-BMN013_PANJAB_SOLAR_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-22 13:27:10, alarmClearedTime=2025-02-23 12:02:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065621, alarmCode=65033, alarmName=Mains Failure, siteId=KBL124, siteName=KBLH11-KBL124_QALA_E_NAJARHA_OPEX_JTTS_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL124, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:03:12, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065627, alarmCode=65033, alarmName=Mains Failure, siteId=KBL393, siteName=KBLH11-KBL393_Chilmetra_Sari_Shamali_Zoorabad_MTN(KBL034)_P2, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL393, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:03:13, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
