HwTrapBody(id=null, newOrClear=2, trapId=407212733, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL324, siteName=KBLU324_KOTELY_KHAIR KHANA_AWCC(KAB050)_P1, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU324, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:46:58, alarmClearedTime=2025-03-03 08:51:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407213071, alarmCode=22214, alarmName=NodeB Unavailable, siteId=MZR135, siteName=MZRU135_SHAHRAK_KHALID_ABNI_WALID_QZ_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=MZRU135, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:50:00, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407213071, alarmCode=22214, alarmName=NodeB Unavailable, siteId=MZR135, siteName=MZRU135_SHAHRAK_KHALID_ABNI_WALID_QZ_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=MZRU135, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:50:00, alarmClearedTime=2025-03-03 08:54:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407210723, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL070, siteName=KBLU070_UN_CPX_P1, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU070, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:26:23, alarmClearedTime=2025-03-03 08:57:27, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407214265, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBLM202, siteName=KBLMU202_AFGCHIN_OFFICE_ALOWODDIN_PARK, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLMU202, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:03:37, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407214265, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBLM202, siteName=KBLMU202_AFGCHIN_OFFICE_ALOWODDIN_PARK, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLMU202, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:03:37, alarmClearedTime=2025-03-03 09:05:13, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407214629, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL301, siteName=KBLU301_RUSSION_EMBASSY_CPX_P2, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU301, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:07:54, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407214629, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL301, siteName=KBLU301_RUSSION_EMBASSY_CPX_P2, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU301, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:07:54, alarmClearedTime=2025-03-03 09:12:39, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407215056, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL301, siteName=KBLU301_RUSSION_EMBASSY_CPX_P2, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU301, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:12:39, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407215056, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL301, siteName=KBLU301_RUSSION_EMBASSY_CPX_P2, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU301, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:12:39, alarmClearedTime=2025-03-03 09:14:27, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
