ZteTrapBody(id=null, newOrClear=2, trapId=1718086418036, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,6:41:26.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7834706609370138526, newOrClear=1, trapId=1718086418037, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,6:41:26.0,+4:30, alarmClearedTime=null, alarmNodeBId=3807, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086418037, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,6:41:27.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086418392, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,9:24:25.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086418393, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,9:25:14.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=9135497348818891999, newOrClear=1, trapId=1718086418489, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,9:29:8.0,+4:30, alarmClearedTime=null, alarmNodeBId=3411, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086418489, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,9:31:34.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5480327044339633877, newOrClear=1, trapId=1718086418783, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,10:19:29.0,+4:30, alarmClearedTime=null, alarmNodeBId=3411, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086418783, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,10:22:15.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2661732673809105625, newOrClear=1, trapId=1718086418986, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,11:4:32.0,+4:30, alarmClearedTime=null, alarmNodeBId=3215, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086418986, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,11:11:6.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5298554972487070660, newOrClear=1, trapId=1718086419955, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,14:46:35.0,+4:30, alarmClearedTime=null, alarmNodeBId=3430, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=8986657898276924371, newOrClear=1, trapId=1718086420059, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,15:6:13.0,+4:30, alarmClearedTime=null, alarmNodeBId=3215, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086420059, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,15:13:6.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4151952498085691185, newOrClear=1, trapId=1718086420141, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,15:21:22.0,+4:30, alarmClearedTime=null, alarmNodeBId=3418, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086420141, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,15:22:50.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
