HwTrapBody(id=null, newOrClear=2, trapId=406074703, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:54:18, alarmClearedTime=2025-02-23 13:29:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406156223, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL410, siteName=KBL410_UL_QZ, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL410_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 04:58:18, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406156223, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL410, siteName=KBL410_UL_QZ, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL410_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 04:58:18, alarmClearedTime=2025-02-24 05:05:04, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406161267, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL340, siteName=KBL340_UL_JTTS, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL340_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 05:56:09, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406161267, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL340, siteName=KBL340_UL_JTTS, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL340_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 05:56:09, alarmClearedTime=2025-02-24 05:59:06, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406161303, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL486, siteName=KBL486_UL_NAYAB, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL486_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 05:42:08, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406161303, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL486, siteName=KBL486_UL_NAYAB, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL486_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 05:42:08, alarmClearedTime=2025-02-24 05:59:13, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406168173, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL331, siteName=KBL331_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL331_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:52:47, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406168173, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL331, siteName=KBL331_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL331_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:52:47, alarmClearedTime=2025-02-24 07:08:37, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406168396, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL380, siteName=KBL380_UL_CPX, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL380_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:52:47, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406168396, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL380, siteName=KBL380_UL_CPX, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL380_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:52:47, alarmClearedTime=2025-02-24 07:08:37, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406168428, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL304, siteName=KBL304_UL_HUB, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL304_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:52:47, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406168428, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL304, siteName=KBL304_UL_HUB, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL304_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:52:47, alarmClearedTime=2025-02-24 07:08:39, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406169921, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:37:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406169921, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:37:11, alarmClearedTime=2025-02-24 07:19:09, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406170047, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:19:27, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406170047, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:19:27, alarmClearedTime=2025-02-24 07:25:57, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406172028, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:39:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406172028, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:39:59, alarmClearedTime=2025-02-24 07:49:00, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406180638, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL154_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:40:45, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406180638, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL154_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:40:45, alarmClearedTime=2025-02-24 09:42:28, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406181114, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL418, siteName=KBL418_L_OPEX NAYAB, alarmSeverity=2, alarmEventType=3, alarmNetType=8200, alarmServiceType=4G, displaySiteId=KBL418_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:31:00, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406181114, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL418, siteName=KBL418_L_OPEX NAYAB, alarmSeverity=6, alarmEventType=3, alarmNetType=8200, alarmServiceType=4G, displaySiteId=KBL418_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:31:00, alarmClearedTime=2025-02-24 09:47:03, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406181206, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL349, siteName=KBL349_UL_JTTS, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL349_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:44:24, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406181206, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL349, siteName=KBL349_UL_JTTS, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL349_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:44:24, alarmClearedTime=2025-02-24 09:46:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406182407, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL081, siteName=KBL081_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL081_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:55:15, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406182407, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL081, siteName=KBL081_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL081_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:55:15, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406182407, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL081, siteName=KBL081_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL081_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:55:15, alarmClearedTime=2025-02-24 10:03:47, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406164018, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KDZ034, siteName=KDZ034_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KDZ034_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:27:40, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406164018, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KDZ034, siteName=KDZ034_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KDZ034_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:27:40, alarmClearedTime=2025-02-24 10:26:42, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407210752, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL070, siteName=KBL070_UL_CPX, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL070_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:26:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407210752, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL070, siteName=KBL070_UL_CPX, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL070_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:26:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
