HwTrapBody(id=null, newOrClear=2, trapId=406063109, alarmCode=65090, alarmName=Mains Failure, siteId=KBL240, siteName=KBL240_UL_TXN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL240_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:40:10, alarmClearedTime=2025-02-23 11:40:23, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063285, alarmCode=65090, alarmName=Mains Failure, siteId=KBL240, siteName=KBL240_UL_TXN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL240_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:42:13, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063285, alarmCode=65090, alarmName=Mains Failure, siteId=KBL240, siteName=KBL240_UL_TXN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL240_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:42:13, alarmClearedTime=2025-02-23 11:43:11, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063523, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:44:34, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063523, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:44:34, alarmClearedTime=2025-02-23 11:44:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063679, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:45:51, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063679, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:45:51, alarmClearedTime=2025-02-23 11:46:06, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063920, alarmCode=65090, alarmName=Mains Failure, siteId=KBL009, siteName=KBL009_UL_TXN_WAZIR_ABAD_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL009_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:48:38, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063923, alarmCode=65090, alarmName=Mains Failure, siteId=KBL169, siteName=KBL169_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL169_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:48:40, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063924, alarmCode=65090, alarmName=Mains Failure, siteId=KBL334, siteName=KBL334_UL_QZ, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL334_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:48:40, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
