HwTrapBody(id=null, newOrClear=2, trapId=406060803, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL171, siteName=KBLH11-KBL171_Paghman_Darai12Amam_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU171, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:16:12, alarmClearedTime=2025-02-23 11:44:35, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064086, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=MZR084, siteName=MZRH03-MZR084_DEHDADI_MAKTABI_MTN(BLH038)_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU084, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:49:32, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406058605, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL023, siteName=KBL023_UL_QZ, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU023, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:55:48, alarmClearedTime=2025-02-23 11:49:49, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064086, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=MZR084, siteName=MZRH03-MZR084_DEHDADI_MAKTABI_MTN(BLH038)_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU084, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:49:32, alarmClearedTime=2025-02-23 11:59:07, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063192, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:41:07, alarmClearedTime=2025-02-23 11:59:07, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065097, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:59:35, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065097, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:59:35, alarmClearedTime=2025-02-23 12:00:01, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065207, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:15, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065648, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL031, siteName=KBL031_UL_JTTS, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU031, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:03:35, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065649, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL031, siteName=KBLH11-KBL031_Qasr_Zarin_Hotel_Pawan-e-3_OPEX_JTTS_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU031, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:03:35, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
