ZteTrapBody(id=3923513189601812878, newOrClear=1, trapId=1732079029306, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=KDR035, siteName=KDRP035_BTS_Haji_Toor_Qalacha_P3(35), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KDR035_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,14:2:43.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029306, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,14:7:8.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8080261404599228935, newOrClear=1, trapId=1732079029330, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GDZ070, siteName=GDZ070_TEST_BTS_TVG_OFFICE(3270), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GDZ070_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,15:10:50.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029330, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,15:11:6.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2041183233261193201, newOrClear=1, trapId=1732079030619, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN040, siteName=GZNL040_QALA_E_AMIR_MOHD_KHAN_JTTS_P3(5040), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN040_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-13,9:15:57.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079030619, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-13,9:16:35.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6505609267818139005, newOrClear=1, trapId=1732079030627, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN040, siteName=GZNL040_QALA_E_AMIR_MOHD_KHAN_JTTS_P3(5040), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN040_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-13,9:42:37.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079030627, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-13,9:43:5.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=701520715496441165, newOrClear=1, trapId=1732079030893, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=BGL022, siteName=BGLL022_KALAN_GOZAR_KOHE_CHESHMA_CPX_P2(6222), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=BGL022_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-14,10:27:52.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079030893, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-14,10:40:50.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
