ZteTrapBody(id=6558764992865665766, newOrClear=1, trapId=1732079034387, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=GZN027, siteName=GZNL027_NASO_KHEL_MTN(GZN027)_P3(5027), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN027_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-19,7:46:12.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079034387, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-19,7:53:15.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4207787345291639131, newOrClear=1, trapId=1732079034392, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=GZN027, siteName=GZNL027_NASO_KHEL_MTN(GZN027)_P3(5027), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN027_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-19,7:55:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079034392, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-19,8:3:28.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1873577704174657404, newOrClear=1, trapId=1732079034418, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=GZN027, siteName=GZNL027_NASO_KHEL_MTN(GZN027)_P3(5027), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN027_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-19,10:47:15.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079034418, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-19,10:50:15.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8027010971073871458, newOrClear=1, trapId=1718086676628, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=JLD057, siteName=JLDL057_HUB_FAMILY_HI_KHALIS_CPX_P1(3057), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=JLD057_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-24,11:11:57.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086676628, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-24,11:13:20.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4798542273194280110, newOrClear=1, trapId=1718086676763, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=PSR002, siteName=PSRL002_TXN_BTS_BAZARAK_FARAJ_CPX_P3(1702), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=PSR002_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-24,11:52:51.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086676763, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-24,11:53:29.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
